
Test for Uniform DIF

   Item G^2(Uniform) p-value(Uniform) Change-R^2(Uniform)
  item1        0.346            0.841               0.000
  item2        0.449            0.799               0.000
  item3        1.546            0.462               0.000
  item4      139.150            0.000               0.028
  item5        2.162            0.339               0.001
  item6        2.108            0.349               0.000
  item7        0.804            0.669               0.000
  item8        2.912            0.233               0.001
  item9        1.157            0.561               0.000
 item10        1.100            0.577               0.000
 item11       14.792            0.001               0.004
 item12       72.267            0.000               0.015
 item13        0.591            0.744               0.000
 item14        0.485            0.785               0.000
 item15        0.276            0.871               0.000
 item16        0.606            0.739               0.000
 item17        2.699            0.259               0.000
 item18        4.657            0.097               0.001
 item19        1.699            0.428               0.000
 item20        0.301            0.860               0.000
 item21        0.235            0.889               0.000
 item22        0.863            0.650               0.000
 item23       82.910            0.000               0.017
 item24        3.819            0.148               0.001
 item25        0.608            0.738               0.000
 item26        0.306            0.858               0.000
 item27        0.093            0.955               0.000
 item28        2.637            0.268               0.001
 item29        7.177            0.028               0.001
 item30        9.981            0.007               0.002
 item31        2.235            0.327               0.000
 item32        0.153            0.926               0.000
 item33        2.495            0.287               0.001
 item34        3.186            0.203               0.001

Test for Non-uniform DIF

   Item G^2(Non-uniform) p-value(Non-uniform) Change-R^2(Non-uniform)
  item1            2.980                0.225                   0.001
  item2            3.558                0.169                   0.001
  item3            1.804                0.406                   0.000
  item4           26.722                0.000                   0.005
  item5            0.538                0.764                   0.000
  item6            1.451                0.484                   0.000
  item7           12.692                0.002                   0.002
  item8           10.366                0.006                   0.002
  item9            2.191                0.334                   0.000
 item10            3.142                0.208                   0.001
 item11            3.900                0.142                   0.001
 item12            3.695                0.158                   0.001
 item13            3.971                0.137                   0.001
 item14            0.914                0.633                   0.000
 item15            2.175                0.337                   0.001
 item16            1.368                0.505                   0.000
 item17            0.203                0.903                   0.000
 item18            5.380                0.068                   0.001
 item19            4.272                0.118                   0.001
 item20            1.528                0.466                   0.000
 item21            1.358                0.507                   0.000
 item22            0.571                0.752                   0.000
 item23            0.465                0.793                   0.000
 item24            0.013                0.994                   0.000
 item25            3.726                0.155                   0.001
 item26            6.131                0.047                   0.001
 item27            2.405                0.300                   0.000
 item28            3.484                0.175                   0.001
 item29            1.463                0.481                   0.000
 item30            5.263                0.072                   0.001
 item31           15.236                0.000                   0.003
 item32            2.177                0.337                   0.000
 item33            0.103                0.950                   0.000
 item34            3.882                0.144                   0.001

Test for Uniform and Non-uniform DIF

   Item G^2(Simult.) p-value(Simult.) Change-R^2(Simult.)
  item1        3.326            0.505               0.001
  item2        4.006            0.405               0.001
  item3        3.350            0.501               0.001
  item4      165.871            0.000               0.033
  item5        2.700            0.609               0.001
  item6        3.559            0.469               0.001
  item7       13.496            0.009               0.003
  item8       13.277            0.010               0.003
  item9        3.348            0.501               0.001
 item10        4.242            0.374               0.001
 item11       18.692            0.001               0.005
 item12       75.962            0.000               0.015
 item13        4.562            0.335               0.001
 item14        1.399            0.844               0.000
 item15        2.451            0.653               0.001
 item16        1.974            0.741               0.000
 item17        2.902            0.574               0.000
 item18       10.037            0.040               0.002
 item19        5.971            0.201               0.001
 item20        1.829            0.767               0.000
 item21        1.593            0.810               0.000
 item22        1.434            0.838               0.000
 item23       83.375            0.000               0.017
 item24        3.832            0.429               0.001
 item25        4.334            0.363               0.001
 item26        6.436            0.169               0.001
 item27        2.498            0.645               0.001
 item28        6.121            0.190               0.001
 item29        8.640            0.071               0.002
 item30       15.245            0.004               0.003
 item31       17.471            0.002               0.004
 item32        2.330            0.675               0.000
 item33        2.598            0.627               0.001
 item34        7.068            0.132               0.001
